,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
222,CEAC Holdings Limited (Cypriot),20-Mar-14,"Oil, Gas & Mining",BIT Montenegro - Cyprus 2005,,"July 26, 2016 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Montenegro (Montenegrin),Concluded,Aluminum production enterprise
223,African Petroleum Gambia Limited (Block A4) (British),12-Mar-14,"Oil, Gas & Mining",Contract,,"January 27, 2015 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of The Gambia (Gambian),Concluded,"Petroleum exploration, development, and production activities"
224,African Petroleum Gambia Limited (Block A1) (British),12-Mar-14,"Oil, Gas & Mining",Contract,,"January 27, 2015 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of The Gambia (Gambian),Concluded,"Petroleum exploration, development, and production activities"
225,Infinito Gold Ltd (Canadian),04-Mar-14,"Oil, Gas & Mining",BIT Costa Rica - Canada 1998,"April 30, 2018 - The non-disputing party files a written submission pursuant to ICSID Arbitration Rule 37(2).",,Republic of Costa Rica (Costa Rican),Pending,Gold mining project
226,"Unión Fenosa Gas, S.A. (Spanish)",27-Feb-14,"Oil, Gas & Mining","BIT Egypt, Arab Republic of - Spain 1992","January 9, 2018 - The Tribunal issues a procedural order concerning procedural matters.",,Arab Republic of Egypt (Egyptian),Pending,Natural gas liquefaction operations
227,"Blusun S.A. (Belgian), Jean-Pierre Lecorcier (French), Michael Stein (German)",21-Feb-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),"May 18, 2018 - Blusun S.A., Jean-Pierre Lecorcier and Michael Stein file a reply on annulment.","December 27, 2016 - The Tribunal renders its award.",Italian Republic (Italian),Concluded,Renewable energy generation enterprise
228,"Michael Dagher (Jordanian,Lebanese)",21-Feb-14,Information & Communication,"BIT Sudan - Jordan 2000, BIT Sudan - Lebanon 2004","November 10, 2017 - The Tribunal issues a decision on jurisdiction.",,Republic of the Sudan (Sudanese),Pending,Wireless internet service enterprise
229,Masdar Solar & Wind Cooperatief U.A. (Dutch),11-Feb-14,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"May 16, 2018 - The Tribunal renders its award.",Kingdom of Spain (Spanish),Concluded,Renewable energy generation enterprise
230,"Fouad Alghanim & Sons Co. for General Trading & Contracting, W.L.L. (Kuwaiti), Fouad Mohammed Thunyan Alghanim (Kuwaiti)",24-Dec-13,,BIT Jordan - Kuwait 2001,"May 1, 2018 - The Secretary-General registers an application for annulment of the award filed by Fouad Alghanim & Sons Co. for General Trading & Contracting, W.L.L. and Fouad Mohammed Thunyan Alghanim and notifies the parties of the provisional stay of enforcement of the award.","December 14, 2017 - The Tribunal renders its award.",Hashemite Kingdom of Jordan (Jordanian),Concluded,Telecommunications enterprise
231,"Erich Utsch Aktiengesellschaft (German), Helmut Jungbluth (German), Utsch M.O.V.E.R.S. International GmbH (German)",24-Dec-13,,"BIT Egypt, Arab Republic of - Germany 2005",,"April 18, 2017 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Arab Republic of Egypt (Egyptian),Concluded,License plate supply and manufacturing project
232,"EISER Infrastructure Limited (British), Energia Solar Luxembourg S.à r.l. (Luxembourg)",23-Dec-13,Electric Power & Other Energy,ECT (Energy Charter Treaty),"April 20, 2018 - The ad hoc Committee is reconstituted. Its members are Ricardo Ramírez Hernández (Mexican), President, Dominique Hascher (French), and Makhdoom Ali Khan (Pakistani), all appointed by the Chairman of the Administrative Council. The proceeding is resumed pursuant to ICSID Arbitration Rules 12 and 53.","May 4, 2017 - The Tribunal renders its award.",Kingdom of Spain (Spanish),Concluded,Renewable energy generation enterprise
233,"C.D Holding Internationale (French), UP (French)",23-Dec-13,,BIT France - Hungary 1986,"January 26, 2018 - The Claimants file observations on the Respondent’s submission on costs.",,Hungary (Hungarian),Pending,Social voucher services
234,"Courts (Indian Ocean) Limited (Mauritian), Courts Madagascar S.A.R.L. (Malagasy)",23-Dec-13,Other Industry,BIT Madagascar - Mauritius 2004,,"March 7, 2016 - The Tribunal issues Procedural Order No. 5 taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 45.",Republic of Madagascar (Malagasy),Concluded,Electronic goods and home furnishing facilities
235,PNG Sustainable Development Program Ltd. (Singaporean),20-Dec-13,"Oil, Gas & Mining",Investment Law - Papua New Guinea,,"May 5, 2015 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Independent State of Papua New Guinea (Papua New Guinea),Concluded,Gold and copper mining project
236,MOL Hungarian Oil and Gas Company Plc (Hungarian),05-Dec-13,"Oil, Gas & Mining",ECT (Energy Charter Treaty),"June 15, 2018 - The Respondent files further observations on the Claimant’s request on the admissibility of new evidence.",,Republic of Croatia (Croatian),Pending,Hydrocarbon production and distribution enterprise
237,"Antin Infrastructure Services Luxembourg S.à r.l. (Luxembourg), Antin Energia Termosolar B.V. (Dutch)",22-Nov-13,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"June 15, 2018 - The Tribunal renders its award.",Kingdom of Spain (Spanish),Concluded,Renewable energy generation enterprise
238,"RREEF Infrastructure (G.P.) Limited (British), RREEF Pan-European Infrastructure Two Lux S.à r.l. (Luxembourg)",22-Nov-13,Electric Power & Other Energy,ECT (Energy Charter Treaty),"March 20, 2018 - The Tribunal decides on the Respondent’s request of March 2, 2018 and the Claimants�_request of March 9, 2018.",,Kingdom of Spain (Spanish),Pending,Renewable energy generation enterprise
239,"Aridos Jativa S.L.U. (Spanish), Cementos La Union S.A. (Spanish)",22-Nov-13,Construction,"BIT Egypt, Arab Republic of - Spain 1992","August 3, 2017 - The Claimant files a reply on the merits.",,Arab Republic of Egypt (Egyptian),Pending,Cement production enterprise
240,"Cemusa - Corporación Europea de Mobiliario Urbano, S.A. (Spanish), Corporación Americana de Equipamientos Urbanos, S.L. (Spanish)",06-Nov-13,Construction,BIT Spain - Mexico 2006,,"August 18, 2014 - The Acting Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to Article 51 of the Arbitration (Additional Facility) Rules.",United Mexican States (Mexican),Concluded,Construction activities
241,Spence International Investments et al. (U.S.),17-Oct-13,,CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),,"May 30, 2017 - The Tribunal issues a Procedural Order on the correction of the interim award and the termination of the proceedings.",Republic of Costa Rica (Costa Rican),Concluded,Real estate project
242,"Transglobal Green Energy de Panama, S.A. (Panamanian), Transglobal Green Energy, LLC (U.S.)",10-Oct-13,Electric Power & Other Energy,BIT United States of America - Panama 1982,,"June 2, 2016 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Republic of Panama (Panamanian),Concluded,"Electricity, gas, steam and air production"
243,"Alexandros Bakatselos (Greek), Andreas Vgenopoulos (Greek), Anna-Maria Theocharaki (Greek), Chevellas SA (Greek), Delfini Holdings SA (Greek), Despina Theocharaki (Greek), Efstathios Topouzoglou (Greek), Georgios Bakatselos (Greek), Lion Hellas SA (Greek), Marfin Investment Group Holdings SA (Greek), Marina Theocharaki (Greek), Matthaios Rigas (Greek), Nik I Theocharakis SA (Greek), Nikiforos Moschopoulos (Greek), Nikolaos Bakatselos (Greek), Nikolaos Theocharaki (Greek), Polytimi Bakatselos (Greek), Teodomi SA (Greek), Vasileios Theocharaki (Greek)",27-Sep-13,Finance,BIT Cyprus - Greece 1992,"April 26, 2018 - Each party files an additional statement of costs.",,Republic of Cyprus (Cypriot),Pending,Banking enterprise
244,"Spentex Netherlands, B.V. (Dutch)",27-Sep-13,Other Industry,"BIT Netherlands - Uzbekistan 1996 - Contract, Investment Law - Uzbekistan (1998)",,"December 27, 2016 - The Tribunal renders its award.",Republic of Uzbekistan (Uzbek),Concluded,Textile manufacturing activities
245,"Tullow Uganda Limited (British), Tullow Uganda Operations Pty Ltd (Australian)",26-Sep-13,"Oil, Gas & Mining",Contract,,"July 15, 2015 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Uganda (Ugandan),Concluded,"Petroleum exploration, development, and production activities"
246,Republic of Peru (Peruvian),19-Sep-13,Other Industry,Contract,,"December 26, 2013 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Caravelí Cotaruse Transmisora de Energía S.A.C. (Peruvian),Concluded,Electricity transmission agreements
247,ASA International S.p.A. (Italian),13-Sep-13,"Water, Sanitation & Flood Protection","BIT Egypt, Arab Republic of - Italy 1989",,"August 3, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Arab Republic of Egypt (Egyptian),Concluded,Waste management services
248,Erbil Serter (Turkish),10-Sep-13,Transportation,BIT Turkey - France 2006,,"March 2, 2018 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 45.",French Republic (French),Concluded,Ship hull design
249,Edenred S.A. (French),09-Sep-13,Other Industry,BIT France - Hungary 1986,"April 29, 2018 - Hungary files a memorial on annulment.","December 13, 2016 - The Tribunal renders its award.",Hungary (Hungarian),Concluded,Food voucher services
250,"Interocean Oil Development Company (U.S.), Interocean Oil Exploration Company (U.S.)",09-Sep-13,"Oil, Gas & Mining",Investment Law - Nigeria (1995),"June 13, 2018 - Each party files a post-hearing brief.",,Federal Republic of Nigeria (Nigerian),Pending,Oil exploration and production joint venture
251,"Fikret Günes (Turkish), Güne�_Tekstil Konfeksiyon Sanayi ve Ticaret Limited Şirketi (Turkish), Ibrahim Eksilmez (Turkish), Reşat Güne�_(Turkish), Vahit Güne�_(Turkish), Yücel Yildiz (Turkish)",29-Aug-13,Other Industry,BIT Turkey - Uzbekistan 1992 - Investment Law - Uzbekistan (1998),"April 20, 2018 - Each party files a submission on costs.",,Republic of Uzbekistan (Uzbek),Pending,Retail enterprise
252,"The Renco Group, Inc. (U.S.)",04-Apr-11,"Oil, Gas & Mining",FTA Peru �_United States of America 2006,,"November 9, 2016 - The Tribunal renders its final award.",Republic of Peru (Peruvian),Concluded,Mining company
253,Enel Green Power S.p.A. (Italian),21-Aug-13,Electric Power & Other Energy,Investment Law - El Salvador (1999),,"September 14, 2015 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Republic of El Salvador (Salvadoran),Concluded,Geothermal energy project
254,EVN AG (Austrian),19-Jul-13,Electric Power & Other Energy,BIT Austria - Bulgaria 1997 - ECT (Energy Charter Treaty),"June 10, 2018 - The Respondent files observations on new evidence and a response to the Claimant’s observations of May 15, 2018.",,Republic of Bulgaria (Bulgarian),Pending,Electricity supply and distribution operations
255,Société des Mines de Loulo S.A. (Malian),18-Jul-13,"Oil, Gas & Mining",Contract,,"June 2, 2016 - The Tribunal renders its award.",Republic of Mali (Malian),Concluded,Gold exploration and exploitation project
256,Lundin Tunisia B.V. (Dutch),18-Jul-13,"Oil, Gas & Mining",Contract,,"September 9, 2014 - The Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 44.",Republic of Tunisia (Tunisian),Concluded,Oil exploration and exploitation operations
257,RSM Production Company (U.S.),01-Jul-13,"Oil, Gas & Mining",Contract,,"January 19, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Cameroon (Cameroonian),Concluded,Hydrocarbons exploration and exploitation concession agreement
258,"Caratube International Oil Company LLP (Kazakhstani), Devincci Salah Hourani (U.S.)",28-Jun-13,"Oil, Gas & Mining","BIT United States of America - Kazakhstan 1992 - Contract, Investment Law - Kazakhstan (1994)","February 2, 2018 - The Acting Secretary-General registers an application for annulment of the award filed by the Republic of Kazakhstan and notifies the parties of the provisional stay of enforcement of the award.  ","September 27, 2017 - The Tribunal renders its award; attached to the award is a concurring and dissenting opinion by arbitrator Jacques Salès.",Republic of Kazakhstan (Kazakhstani),Concluded,Oil exploration and production contract
259,"Chantal C. van Riet (Belgian), Christopher van Riet (Belgian), Lieven J. van Riet (Belgian)",21-Jun-13,Tourism,BIT Croatia - Belgium-Luxembourg 2001,,"November 2, 2016 - Award rendered by the Tribunal; attached to the award is a dissenting opinion by arbitrator Ibrahim Fadlallah on November 02, 2016.",Republic of Croatia (Croatian),Concluded,Tourism facilities
260,"Consorcio Andino, S.L. (Spanish), Valores Mundiales, S.L. (Spanish)",06-Jun-13,"Agriculture, Fishing & Forestry","BIT Spain - Venezuela, Republica Bolivariana de 1995","June 25, 2018 - Valores Mundiales, S.L. and Consorcio Andino S.L. file observations on the  Bolivarian Republic of Venezuela’s request to continue the stay of enforcement of the award.","July 25, 2017 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Food products enterprise
261,"Impresa Grassetto S.p.A., in liquidation (Italian)",04-Jun-13,Transportation,BIT Slovenia - Italy 2000,"October 13, 2017 - The Claimant files answers to the questions posed by the Tribunal on September 10, 2017.",,Republic of Slovenia (Slovenian),Pending,Highway tunnel construction project
262,"Asım Kayan (Turkish), Federal Elektrik Yatırım ve Ticaret A.�_ (Turkish), Mustafa Nurdoğan (Turkish), İrfan Nurdoğan (Turkish)",24-May-13,"Oil, Gas & Mining","BIT Turkey - Uzbekistan 1992 - ECT (Energy Charter Treaty), Investment Law - Uzbekistan (1998)","February 28, 2018 - The Respondent files a response to the Claimants observations of January 30, 2018 and February 14, 2018.",,Republic of Uzbekistan (Uzbek),Pending,Renovation and development of natural gas system
263,Joseph Houben (Belgian),20-May-13,Other Industry,BIT Belgium-Luxembourg - Burundi 1989,,"January 12, 2016 - The Tribunal renders its award.",Republic of Burundi (Burundi),Concluded,Real estate project
